roi,r0,std_gt,std_rec,slope,intercept,R2,NRMSE,best_lag_TR,r_at_best_lag
0,0.2979068346068306,1.0,0.25329485535621643,1.1761265993118286,-0.061326250433921814,0.08874833583831787,0.9545950293540955,1,0.32184321041917024
1,0.5432886485219947,1.0,0.19061826169490814,2.850139617919922,-0.12560199201107025,0.295162558555603,0.8395460247993469,-3,0.5669266084950351
2,0.44315229076738427,1.0,0.21141517162322998,2.096123456954956,-0.2205798178911209,0.19638383388519287,0.8964464068412781,3,0.48283208977675796
3,0.5308384465569671,1.0,0.2587531805038452,2.0515244007110596,0.041469331830739975,0.2817894220352173,0.8474730253219604,1,0.5432612393976285
4,0.06864236460346286,1.0,0.21239331364631653,0.32318514585494995,-4.2230018152622506e-05,0.004711747169494629,0.9976413249969482,2,0.11901952027723262
5,0.29857194380055035,1.0,0.17020894587039948,1.7541496753692627,0.140482559800148,0.0891452431678772,0.9543871283531189,-1,0.3460832540108881
6,0.27331852570634085,1.0,0.1614188402891159,1.6932255029678345,-0.039484888315200806,0.07470309734344482,0.9619235396385193,3,0.32443894228756076
7,0.5002180005959489,1.0,0.26079365611076355,1.9180604219436646,-0.11070998758077621,0.25021809339523315,0.8658995032310486,-2,0.5089245073870708
8,0.11941907858854765,0.9999999403953552,0.23554198443889618,0.5069969892501831,-0.08498536050319672,0.014260947704315186,0.9928439259529114,3,0.1414097284320248
9,0.1666439203533499,1.0,0.1261972337961197,1.3205037117004395,-0.004214001819491386,0.027770161628723145,0.9860171675682068,-2,0.23478519518129562
10,0.2386020682981045,1.0,0.09001001715660095,2.65083909034729,-0.21004585921764374,0.05693089962005615,0.9711174368858337,1,0.2458425672963683
11,-0.08017286546049614,0.9999999403953552,0.12886303663253784,-0.6221556067466736,0.023166388273239136,0.00642770528793335,0.9967809915542603,-1,-0.07917416206593739
12,0.15609672213755246,1.0,0.16099700331687927,0.9695628881454468,0.06114114820957184,0.024366140365600586,0.9877417683601379,-1,0.18264412544228364
13,-0.19399973739117302,0.9999999403953552,0.07592348754405975,-2.5552005767822266,0.06365308910608292,0.03763580322265625,0.981001615524292,-2,-0.15955474235465675
14,0.35884170676290283,1.0,0.25100839138031006,1.429600477218628,-0.12713143229484558,0.1287674903869629,0.9333983659744263,-3,0.38244929119164445
15,0.1568882631008546,1.0,0.12052290886640549,1.3017297983169556,0.06198298558592796,0.02461397647857666,0.9876163601875305,-3,0.2194240851331427
16,-0.34485161570690703,1.0,0.15676628053188324,-2.199781656265259,0.11480460315942764,0.11892259120941162,0.9386572241783142,3,-0.19019866305559066
17,0.0012461290857382198,0.9999999403953552,0.1428510546684265,0.008723274804651737,0.00032376148737967014,1.430511474609375e-06,0.9999992847442627,1,0.0608371005681779
