roi,count_patches,avg_mean_abs_corr,avg_corr_global
38,9,0.000000,0.000000
41,9,0.000000,0.000000
48,9,0.000000,0.000000
53,9,0.000000,0.000000
54,9,0.000000,0.000000
64,9,0.000000,0.000000
87,9,0.000000,0.000000
88,9,0.000000,0.000000
89,9,0.000000,0.000000
90,9,0.000000,0.000000
91,9,0.000000,0.000000
92,9,0.000000,0.000000
