roi,r0,std_gt,std_rec,slope,intercept,R2,NRMSE,best_lag_TR,r_at_best_lag
0,-0.6950615705541009,1.0,0.061796270310878754,-11.24763011932373,-0.3762272596359253,0.48311060667037964,0.7189502120018005,2,-0.6632059453044232
1,0.6632044315264911,1.0,0.07490638643503189,8.853776931762695,-0.033381387591362,0.4398401379585266,0.74843829870224,1,0.6784131493154131
2,0.7053643581622853,1.0,0.08275435119867325,8.523592948913574,0.02755994349718094,0.49753886461257935,0.7088449597358704,0,0.7053643581622853
3,0.5559274226667981,1.0,0.025461938232183456,21.83366584777832,1.4357013702392578,0.30905526876449585,0.831230878829956,-3,0.5656646854412712
4,-0.0823434247776984,1.0,0.037340499460697174,-2.2052042484283447,-0.1344885677099228,0.006780445575714111,0.9966040253639221,-3,-0.0008317006782224385
5,0.1144102576293683,1.0,0.0886089950799942,1.2911810874938965,0.09666083008050919,0.01308971643447876,0.9934335947036743,-1,0.1316530841477653
6,0.4284594231675262,1.0,0.092981718480587,4.607995986938477,0.09551024436950684,0.18357759714126587,0.9035609364509583,0,0.4284594231675262
7,0.5338298750242587,1.0,0.03588658571243286,14.875471115112305,0.05959789454936981,0.2849743366241455,0.8455919027328491,2,0.5524747759913993
8,0.11818358542830995,0.9999999403953552,0.0507025308907032,2.330920696258545,-0.1247834712266922,0.013967454433441162,0.9929917454719543,0,0.11818358542830995
9,-0.193139927558558,1.0,0.02952209673821926,-6.542215824127197,-0.07802931219339371,0.03730309009552002,0.981171190738678,-2,-0.1753856230317769
10,0.15298793395459487,1.0,0.027950037270784378,5.4736223220825195,-0.0759105384349823,0.02340519428253174,0.9882281422615051,1,0.2104068828326282
11,-0.12291539923766452,0.9999999403953552,0.017876742407679558,-6.875715732574463,-0.22854110598564148,0.015108168125152588,0.9924171566963196,2,-0.06081341199260243
12,0.24413369182941277,1.0,0.05758234113454819,4.239732265472412,0.35219720005989075,0.05960118770599365,0.9697416424751282,-3,0.308663300755456
13,-0.0932412969481517,0.9999999403953552,0.03406115993857384,-2.737467050552368,0.10939613729715347,0.008693814277648926,0.9956436157226562,-2,-0.017980695128973698
14,0.5019600584397691,1.0,0.012913329526782036,38.871463775634766,0.6922608613967896,0.2519639730453491,0.8648907542228699,1,0.5146003374778152
15,0.12161096652619245,1.0,0.01710982248187065,7.107669830322266,0.16441872715950012,0.014789283275604248,0.9925777912139893,1,0.1611574872207411
16,-0.2397449484273463,1.0,0.01446104608476162,-16.578672409057617,-0.371437132358551,0.057477712631225586,0.9708358645439148,-2,0.026607730945334578
17,0.3364110904634842,0.9999999403953552,0.045591212809085846,7.3788580894470215,0.0017220393056049943,0.11317229270935059,0.9417153000831604,-2,0.3414800384093378
18,0.21580401039645405,1.0,0.1019911915063858,2.115908145904541,0.10011711716651917,0.046571433544158936,0.9764366745948792,-3,0.24345741051233935
19,0.06394438391689064,1.0,0.028169095516204834,2.270019054412842,0.025953419506549835,0.004088878631591797,0.997953474521637,2,0.10676643876068628
20,0.4900381838245238,1.0000001192092896,0.04319837689399719,11.343902587890625,0.49605879187583923,0.24013745784759521,0.8717008829116821,-1,0.5103142160608444
21,0.42126896970694067,1.0,0.028054697439074516,15.015987396240234,0.19601167738437653,0.17746764421463013,0.9069356918334961,-3,0.47238652282169674
22,0.3052038587202467,1.0,0.025893716141581535,11.786792755126953,0.25074267387390137,0.09314936399459839,0.9522870779037476,1,0.38228986248120617
23,-0.3840287494170184,1.0,0.02460733987390995,-15.606268882751465,0.04365001246333122,0.14747798442840576,0.9233211874961853,3,-0.34071887732707645
24,-0.1263897688020335,0.9999999403953552,0.027454281225800514,-4.603645324707031,-0.30739542841911316,0.01597440242767334,0.9919806718826294,2,-0.033469440664810585
25,0.18818445741679493,1.0,0.015424932353198528,12.200018882751465,0.296244353055954,0.03541332483291626,0.9821337461471558,-1,0.21098566775967495
26,-0.609868233197176,1.0,0.05086905136704445,-11.988984107971191,-0.30896803736686707,0.3719392418861389,0.7925028204917908,1,-0.5849591636951588
27,-0.20635033010464582,1.0,0.03258289769291878,-6.333086967468262,-0.04021663963794708,0.042580485343933105,0.9784781336784363,-2,-0.13261557223717255
28,-0.49566513510874877,1.0,0.023386364802718163,-21.19462013244629,-0.9088874459266663,0.24568390846252441,0.8685137033462524,-2,-0.4522098031045097
29,0.2206277793081171,1.0,0.09483543038368225,2.326427698135376,-0.004100594203919172,0.04867660999298096,0.9753580689430237,3,0.25029416417302985
30,0.10300226229088673,1.0,0.05027018487453461,2.0489730834960938,0.008423719555139542,0.01060950756072998,0.9946811199188232,3,0.21120762909148932
31,-0.6597098385306507,1.0,0.04533952847123146,-14.550434112548828,-0.044039566069841385,0.43521708250045776,0.7515203952789307,-1,-0.6544462731313464
32,-0.1863793717145666,1.0,0.011782552115619183,-15.818251609802246,-0.004707383457571268,0.03473728895187378,0.9824778437614441,3,-0.02616833760330227
33,-0.48256841916202653,0.9999999403953552,0.029059192165732384,-16.606395721435547,-0.39029255509376526,0.23287218809127808,0.8758583068847656,2,-0.4593958882176969
34,-0.22800465204751016,1.0,0.10276435315608978,-2.2187135219573975,-0.06430774182081223,0.05198615789413452,0.9736600518226624,-3,-0.1744466410712016
35,-0.021674852237050485,1.0,0.1004667580127716,-0.21574153006076813,-0.0001168696690001525,0.0004698038101196289,0.9997650980949402,3,0.07634291353854893
36,0.6286653367053582,1.0,0.05983157455921173,10.50724983215332,0.03181296959519386,0.39522016048431396,0.7776759266853333,-3,0.6451273860921963
37,0.3417247631444048,1.0,0.01776975207030773,19.23069953918457,-0.29294735193252563,0.11677581071853638,0.9398000836372375,-2,0.35363908909412967
38,0.0,0.0,0.040200695395469666,0.0,0.0,1.0,0.0,-3,0.0
39,0.7138268135385588,1.0,0.0945349857211113,7.55092716217041,-0.14454098045825958,0.5095486640930176,0.7003222703933716,3,0.7328839128528067
40,-0.5957480753907249,1.0,0.03980480879545212,-14.96673583984375,0.12917308509349823,0.3549158573150635,0.8031712770462036,0,-0.5957480753907249
41,0.0,0.0,0.05751512199640274,0.0,0.0,1.0,0.0,-3,0.0
42,-0.06871687786593918,0.9999999403953552,0.0821891725063324,-0.836081862449646,-0.034260667860507965,0.0047220587730407715,0.9976361989974976,-2,-0.0361150616573534
43,0.02777772741668622,1.0,0.02058734931051731,1.349261999130249,0.0628119558095932,0.0007715821266174316,0.9996141195297241,-1,0.07266744844416285
44,0.06485270861276748,1.0000001192092896,0.01761776953935623,3.6810965538024902,0.11064579337835312,0.004206061363220215,0.9978947043418884,-1,0.16761446540770922
45,-0.2938571601878658,1.0,0.015960270538926125,-18.41179084777832,-1.1772921085357666,0.08635199069976807,0.9558493494987488,-2,-0.23925181283329217
46,-0.08700138503821969,0.9999999403953552,0.031164158135652542,-2.791712999343872,-0.009261331520974636,0.0075691938400268555,0.9962082505226135,2,-0.04376032447529755
47,-0.0060437002997379636,0.9999998807907104,0.024809835478663445,-0.2436009645462036,-0.004238638561218977,3.641843795776367e-05,0.9999818205833435,2,0.04828326474390174
48,0.0,0.0,0.014794242568314075,0.0,0.0,1.0,0.0,-3,0.0
49,0.24591133948257157,1.0,0.08141175657510757,3.020587682723999,0.0849514752626419,0.06047248840332031,0.9692923426628113,-1,0.30326853429225986
50,0.06705110762244759,0.9999999403953552,0.026189276948571205,2.5602502822875977,0.08945221453905106,0.004495859146118164,0.9977495670318604,2,0.14211495327579815
51,-0.3817537523507746,1.0,0.09079685062170029,-4.204482078552246,-0.17065876722335815,0.14573603868484497,0.9242640137672424,-3,-0.34964779991133405
52,0.4979177498733805,0.9999999403953552,0.04122963920235634,12.076693534851074,0.7090438604354858,0.24792206287384033,0.8672242760658264,1,0.5347201418215034
53,0.0,0.0,0.03670896962285042,0.0,0.0,1.0,0.0,-3,0.0
54,0.0,0.0,0.04486677423119545,0.0,0.0,1.0,0.0,-3,0.0
55,-0.07010946850682184,1.0,0.018241969868540764,-3.843305826187134,-0.09207480400800705,0.004915297031402588,0.9975393414497375,-2,-0.00828956493675894
56,0.2449511983939707,0.9999999403953552,0.015968279913067818,15.339860916137695,-0.06736338138580322,0.06000107526779175,0.9695354700088501,2,0.25005265424703527
57,-0.311208473963822,0.9999999403953552,0.01674811542034149,-18.58169937133789,-0.42367056012153625,0.0968506932258606,0.9503417015075684,2,-0.30786575963789264
58,0.025860160479624788,1.0,0.023009853437542915,1.123873233795166,0.02862933650612831,0.0006688833236694336,0.9996654987335205,-1,0.06575108609063321
59,0.517549119201787,1.0,0.011690332554280758,44.271549224853516,0.8352289199829102,0.2678571343421936,0.8556535243988037,-3,0.5501294314420669
60,0.08084985311882899,1.0,0.08327893167734146,0.9708319902420044,0.03234998881816864,0.006536662578582764,0.9967263340950012,-2,0.11760771287574004
61,0.07416326455921787,1.0,0.01014896109700203,7.307473182678223,0.28881922364234924,0.005500137805938721,0.9972461462020874,3,0.1633981504376136
62,0.7516944785210056,1.0,0.048802878707647324,15.402667045593262,-0.1699984222650528,0.5650445222854614,0.6595115065574646,1,0.7656869003503383
63,0.34548916456499684,1.0,0.043559908866882324,7.931356430053711,-0.23723387718200684,0.1193627119064331,0.9384227395057678,2,0.37350933874532216
64,0.0,0.0,0.04453311860561371,0.0,0.0,1.0,0.0,-3,0.0
65,0.17353794216781424,1.0,0.1290927678346634,1.3442885875701904,-0.08364728093147278,0.030115485191345215,0.9848272204399109,1,0.2688364686077137
66,-0.07224566753224798,1.0,0.01337836217135191,-5.4001874923706055,-0.29473602771759033,0.005219519138336182,0.9973868131637573,-2,0.021776571439076676
67,-0.08562392276116758,1.0,0.11053059250116348,-0.7746626734733582,-0.061472732573747635,0.007331490516662598,0.9963275790214539,3,-0.006724795700194724
68,0.6043126887348862,1.0,0.03973674029111862,15.207908630371094,-0.18911181390285492,0.36519384384155273,0.7967472076416016,1,0.6405347603509488
69,-0.35716226692738895,0.9999998807907104,0.016701731830835342,-21.384742736816406,-0.563636839389801,0.12756472826004028,0.9340424537658691,3,-0.2383088572674781
70,0.1193089264699052,1.0,0.019940899685025215,5.983126640319824,0.13836802542209625,0.014234542846679688,0.9928572177886963,2,0.13642264045357408
71,-0.4390956767174772,1.0,0.02448839507997036,-17.930767059326172,-0.3056294023990631,0.19280511140823364,0.8984403014183044,-3,-0.3628913095433588
72,-0.0020276598684488014,1.0,0.01933256722986698,-0.10488311201334,-0.005919301882386208,4.112720489501953e-06,0.9999979138374329,1,0.04515444850131533
73,0.41549170789527773,1.0,0.01595783233642578,26.036848068237305,0.6648166179656982,0.17263346910476685,0.9095969200134277,-1,0.46820317566517017
74,0.42943565307063347,1.0,0.030725181102752686,13.976668357849121,0.4385894536972046,0.1844150424003601,0.9030974507331848,2,0.5005807221385983
75,-0.00889905924206869,1.0,0.01702907867729664,-0.5225802063941956,-0.01674070954322815,7.915496826171875e-05,0.9999604225158691,3,0.0781775455456008
76,-0.6166232046647686,1.0,0.09614928811788559,-6.413185119628906,-0.1982865333557129,0.38022416830062866,0.7872584462165833,-1,-0.6096831001192825
77,-0.6003232652796355,1.0,0.030912434682250023,-19.420124053955078,-1.1182780265808105,0.36038804054260254,0.7997574806213379,2,-0.573998594230713
78,0.3396501788643131,1.0,0.019354894757270813,17.548542022705078,-0.47344622015953064,0.11536216735839844,0.9405518770217896,0,0.3396501788643131
79,0.6940159427834927,1.0,0.07142610847949982,9.716558456420898,-0.3091709017753601,0.48165810108184814,0.7199596762657166,1,0.723476827919398
80,-0.07824101382541337,1.0,0.029908832162618637,-2.615983486175537,-0.038013264536857605,0.0061217546463012695,0.9969344735145569,1,-0.06995742870490079
81,-0.3743172890970005,1.0,0.055809251964092255,-6.707082748413086,-0.5293801426887512,0.14011353254318237,0.9273006319999695,1,-0.3370697315347438
82,0.25684867568710995,1.0,0.057410143315792084,4.4739251136779785,0.01823529042303562,0.06597119569778442,0.9664516448974609,1,0.34682175480647404
83,0.21102419003334424,1.0,0.018044592812657356,11.694594383239746,0.22978919744491577,0.04453122615814209,0.9774808287620544,1,0.24710278048111398
84,0.25181586531334765,1.0,0.02544640563428402,9.895930290222168,0.8262633681297302,0.06341123580932617,0.9677751660346985,1,0.3361021459483915
85,-0.35607531444306645,1.0,0.13761287927627563,-2.5875141620635986,-0.27883413434028625,0.12678956985473633,0.9344573020935059,-3,-0.33497022421135386
86,0.5069163641764661,1.0,0.054924994707107544,9.229247093200684,0.5484480261802673,0.25696414709091187,0.861995279788971,1,0.5274291947934934
87,0.0,0.0,0.040349747985601425,0.0,0.0,1.0,0.0,-3,0.0
88,0.0,0.0,0.04144627973437309,0.0,0.0,1.0,0.0,-3,0.0
89,0.0,0.0,0.04108484834432602,0.0,0.0,1.0,0.0,-3,0.0
90,0.0,0.0,0.025684772059321404,0.0,0.0,1.0,0.0,-3,0.0
91,0.0,0.0,0.06254853308200836,0.0,0.0,1.0,0.0,-3,0.0
92,0.0,0.0,0.015462475828826427,0.0,0.0,1.0,0.0,-3,0.0
93,-0.4960980447719176,0.9999998807907104,0.0591856874525547,-8.382061004638672,0.3425963521003723,0.24611318111419678,0.8682665824890137,3,-0.4400726785558239
94,-0.4914764045222138,1.0,0.0649857148528099,-7.56283712387085,0.05272316187620163,0.2415490746498108,0.8708908557891846,3,-0.4826337235081986
95,0.10283750097504545,1.0,0.023934734985232353,4.296579837799072,0.057326316833496094,0.010575592517852783,0.994698166847229,2,0.11337920543796702
96,-0.26791649734365713,1.0,0.009888681583106518,-27.093250274658203,-0.6474671959877014,0.07177925109863281,0.9634422063827515,-2,-0.2275672669859263
97,0.5616893873675148,1.0,0.07422459870576859,7.567429542541504,0.08122966438531876,0.31549501419067383,0.8273481726646423,2,0.5662775635439454
98,0.5765796287435356,0.9999999403953552,0.023109104484319687,24.9503231048584,1.0527584552764893,0.3324440121650696,0.8170410394668579,3,0.6448355066191577
